1.59E-01,1.57E-01,4.29E-02,4.54E-02,4.68E-02,5.03E-02,5.71E-02,1.21E-01,1.67E-01,1.17E-01,8.24E-02,2.25E-01,2.04E-01,1.17E-01,1.12E-01,4.60E-02,7.90E-02,1.34E-01,2.80E-01
1.97E-02,8.34E-03,7.35E-03,1.01E-02,1.61E-02,2.01E-02,2.37E-02,1.68E-02,1.24E-02,1.57E-02,1.06E-02,4.71E-03,1.24E-02,1.71E-02,1.25E-02,1.11E-02,1.15E-02,1.88E-02,1.40E-02
2.00E+00,2.10E+00,2.40E+00,3.02E+00,3.12E+00,2.79E+00,2.92E+00,2.81E+00,2.68E+00,2.90E+00,2.64E+00,2.40E+00,2.13E+00,2.74E+00,3.17E+00,3.09E+00,2.85E+00,2.78E+00,2.42E+00
2.28E-01,2.88E-01,1.43E-01,1.21E-01,1.65E-01,1.53E-01,1.48E-01,2.25E-01,2.65E-01,2.03E-01,1.51E-01,3.12E-01,2.56E-01,3.06E-01,3.12E-01,1.22E-01,1.90E-01,2.67E-01,3.39E-01
2.87E-01,3.12E-01,1.88E-01,1.55E-01,1.93E-01,1.74E-01,1.81E-01,2.38E-01,2.79E-01,2.62E-01,1.94E-01,3.41E-01,3.30E-01,2.88E-01,2.82E-01,1.51E-01,2.42E-01,2.77E-01,3.03E-01
3.61E-01,5.11E-01,1.96E-01,2.96E-01,5.35E-01,4.84E-01,6.27E-01,8.89E-01,6.23E-01,3.78E-01,3.21E-01,4.83E-01,1.66E-01,5.48E-01,8.68E-01,4.12E-01,3.58E-01,5.36E-01,9.40E-01
0.00E+00,1.15E-03,1.52E-03,3.60E-03,1.63E-03,7.69E-04,1.11E-03,7.63E-04,1.00E-03,1.18E-03,1.37E-03,1.54E-03,2.27E-03,8.19E-04,9.25E-04,1.00E-03,6.42E-04,8.36E-04,5.56E-04
7.00E-02,7.20E-02,7.07E-02,7.20E-02,8.30E-02,8.15E-02,1.14E-01,1.17E-01,8.25E-02,8.03E-02,7.50E-02,7.15E-02,6.07E-02,6.17E-02,1.51E-01,8.97E-02,8.72E-02,9.12E-02,1.58E-01
-2.22E+01,-2.28E+01,-2.34E+01,-2.29E+01,-2.13E+01,-2.09E+01,-2.06E+01,-2.08E+01,-2.16E+01,-2.20E+01,-2.25E+01,-2.33E+01,-2.40E+01,-2.27E+01,-2.19E+01,-2.20E+01,-2.22E+01,-2.20E+01,-2.18E+01
3.04E+00,2.61E+00,3.17E+00,2.90E+00,2.07E+00,2.09E+00,2.60E+00,1.75E+00,2.47E+00,2.69E+00,2.73E+00,2.92E+00,3.81E+00,2.96E+00,2.40E+00,3.27E+00,3.42E+00,2.79E+00,2.31E+00
-7.89E-01,5.82E-01,5.34E-01,-8.91E-01,-5.28E-01,-5.78E-01,-1.63E+00,-9.67E-01,1.01E-01,-4.20E-01,-7.85E-01,9.66E-02,8.48E-01,1.01E+00,-1.64E-01,-1.66E+00,-9.49E-01,-2.74E-01,-4.74E-01
-7.17E-01,-7.33E-01,-1.13E+00,-4.57E-01,-5.74E-01,-4.15E-01,-2.09E-01,-4.32E-01,-1.30E+00,-9.83E-02,1.85E-01,-6.08E-01,-1.20E+00,-1.51E+00,-8.92E-01,8.62E-02,9.37E-02,-6.18E-01,-9.43E-01
-8.05E-02,-2.36E-01,-1.01E-02,-2.40E-01,-4.82E-01,-7.78E-01,-4.23E-01,-1.42E-01,-5.69E-02,3.81E-02,1.49E-01,-3.89E-02,-7.90E-01,-2.16E-01,2.29E-01,1.43E-01,6.57E-02,7.00E-02,-3.59E-01
-9.73E-01,-8.34E-01,-1.13E+00,-2.54E-01,7.68E-02,5.42E-02,-1.31E-01,-1.84E-01,-1.66E-01,-5.05E-01,-1.95E-01,1.43E-01,-3.82E-01,-6.56E-01,-7.97E-01,-4.01E-01,-3.89E-01,-7.35E-01,-6.10E-01
-2.30E-01,1.34E-01,2.16E-01,-3.56E-01,-6.06E-02,1.09E-01,2.40E-01,4.61E-02,-5.02E-01,-1.80E-01,-7.98E-02,-4.09E-01,-1.44E-02,1.55E-01,3.46E-01,3.08E-01,3.09E-01,4.38E-01,2.16E-01
1.38E-01,-1.37E-01,3.84E-02,7.72E-02,1.32E-01,-9.70E-02,-4.84E-01,-2.43E-01,8.57E-02,-3.01E-02,-1.92E-01,3.16E-02,2.92E-01,-6.85E-02,-1.20E-01,-5.29E-01,-4.00E-01,-2.08E-01,-2.03E-01
-9.30E-01,-9.43E-01,-6.38E-01,-1.62E-01,-9.42E-02,-7.02E-02,-2.07E-02,-3.28E-01,-2.42E-01,-2.88E-01,-1.50E-01,4.29E-02,-4.81E-01,-2.93E-01,-4.00E-01,-2.49E-01,-2.62E-01,2.32E-02,-2.51E-01
-1.21E+00,-9.72E-01,-8.81E-01,-5.76E-01,-6.47E-01,-4.62E-01,-4.44E-01,-7.11E-01,-5.38E-01,8.27E-02,-7.64E-03,-3.21E-01,-5.94E-01,-3.90E-01,-5.63E-02,-2.15E-01,-1.34E-01,-3.85E-01,-6.72E-01
-4.93E-01,-4.99E-01,-5.78E-01,1.43E-01,-3.43E-01,-3.82E-01,-7.25E-01,-9.96E-01,-4.74E-01,-1.08E-01,-5.14E-02,-2.01E-01,-9.35E-01,-1.03E+00,-7.15E-01,-4.24E-01,-4.69E-01,-9.78E-01,-8.02E-01
8.60E-02,-1.86E-02,-2.05E-01,-6.34E-01,-5.43E-01,-3.78E-01,-5.03E-01,-6.15E-01,-6.44E-01,-6.45E-01,-7.25E-01,-4.23E-01,-4.98E-01,-5.74E-01,-6.45E-01,-6.62E-01,-6.47E-01,-1.05E+00,-9.15E-01
6.63E-01,4.19E-01,-2.99E-01,-8.65E-01,-7.35E-01,-8.01E-01,-8.02E-01,-1.77E-01,-5.82E-01,-7.60E-01,-5.28E-01,-2.95E-01,-3.29E-01,-5.14E-01,-5.70E-01,-4.95E-01,-5.00E-01,-4.48E-01,-1.57E-01
7.01E-03,4.58E-03,7.79E-03,9.76E-03,8.16E-03,7.40E-03,2.21E-02,6.09E-02,1.78E-02,1.02E-02,5.77E-04,3.81E-03,1.97E-02,2.09E-02,9.69E-03,2.21E-03,3.73E-03,1.20E-02,7.17E-03
5.81E-03,6.36E-03,8.71E-03,3.72E-04,1.97E-03,1.91E-03,1.42E-02,1.36E-02,2.02E-03,1.18E-03,5.47E-04,2.98E-03,4.89E-02,2.92E-02,2.01E-03,5.80E-03,6.38E-03,9.06E-03,1.72E-02
5.49E-03,1.01E-02,1.00E-02,1.61E-04,9.77E-04,1.12E-03,1.33E-03,1.46E-02,1.20E-02,3.67E-04,4.66E-04,1.74E-03,2.47E-03,2.72E-03,9.65E-04,2.82E-03,1.32E-03,1.22E-02,1.76E-02
1.93E-02,2.00E-03,1.64E-03,3.12E-04,7.11E-04,4.74E-04,4.49E-04,1.04E-03,1.63E-03,2.77E-04,8.58E-04,8.69E-04,2.39E-04,1.32E-04,2.88E-04,5.69E-04,1.41E-03,2.05E-04,1.63E-04
1.42E-02,7.96E-03,3.35E-03,2.52E-03,1.61E-04,2.47E-04,4.89E-04,6.16E-04,6.30E-04,3.27E-04,4.23E-04,1.08E-03,3.61E-04,4.20E-04,7.15E-04,1.37E-03,4.93E-04,1.50E-04,7.46E-04
2.31E-03,4.76E-03,5.11E-04,1.75E-04,4.82E-04,3.06E-04,1.27E-04,3.52E-04,1.85E-04,2.23E-04,1.14E-03,1.53E-03,1.78E-04,5.22E-04,1.45E-03,2.47E-03,1.05E-03,2.75E-04,2.04E-04
1.26E-04,9.92E-04,4.66E-04,4.05E-04,2.10E-03,9.76E-03,3.22E-03,1.81E-04,1.86E-03,9.48E-04,1.55E-03,1.74E-03,2.69E-04,5.47E-04,2.95E-03,3.26E-03,1.08E-03,1.63E-04,2.18E-04
2.40E-04,4.02E-04,7.96E-04,5.43E-04,1.07E-03,2.95E-04,2.00E-03,3.19E-03,1.18E-03,7.17E-04,1.14E-03,4.98E-04,4.60E-04,1.95E-04,3.85E-04,7.19E-04,1.65E-03,6.10E-04,2.43E-04
1.01E-04,4.27E-04,1.00E-03,4.43E-04,8.26E-04,5.10E-04,4.71E-03,5.83E-03,9.94E-04,1.35E-03,3.86E-03,3.06E-03,5.39E-04,3.35E-04,6.70E-04,2.64E-03,4.14E-03,1.24E-03,2.40E-03
2.66E-04,1.10E-03,2.79E-02,2.43E-02,1.74E-03,8.94E-04,1.71E-03,8.06E-04,1.28E-02,8.69E-03,9.21E-03,4.96E-02,7.71E-03,4.73E-03,2.49E-03,2.42E-03,1.54E-03,2.71E-03,7.28E-03
9.16E-04,2.74E-03,1.81E-02,3.84E-03,9.53E-03,1.32E-02,2.56E-03,1.42E-03,2.51E-02,4.09E-02,4.55E-02,3.66E-02,2.18E-02,1.80E-02,1.60E-03,1.05E-02,3.28E-02,1.28E-02,2.49E-03
5.98E-04,2.89E-03,1.98E-03,2.19E-03,3.16E-02,3.48E-02,7.07E-02,8.77E-03,1.91E-02,6.90E-02,5.30E-02,9.33E-03,7.07E-03,6.26E-03,3.08E-02,3.55E-02,2.48E-02,1.04E-02,1.94E-03
5.98E-03,3.00E-03,8.15E-03,6.72E-03,8.54E-03,9.67E-03,1.93E-02,1.63E-02,8.54E-03,2.07E-02,1.78E-02,1.55E-02,1.40E-02,9.55E-03,8.29E-03,9.31E-03,1.01E-02,5.31E-03,6.12E-03
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
